Invoice,(All)
Quantity,(All)
,
Row Labels,Sum of Customer ID
United Kingdom,11356443883
2009,460545949
2010,5829445215
2011,5066452719
EIRE,233712080
2009,7547794
2010,125381278
2011,100783008
Germany,218967901
2009,5284909
2010,104471325
2011,109211667
France,177252506
2009,4341561
2010,73705369
2011,99205576
Netherlands,71691212
2009,2228616
2010,37582416
2011,31880180
Spain,48005708
2009,2971172
2010,14598437
2011,30436099
Switzerland,38698307
2009,202800
2010,15332922
2011,23162585
Belgium,38043240
2009,248285
2010,14084829
2011,23710126
Portugal,31207356
2009,1250797
2010,13315203
2011,16641356
Channel Islands,24602464
2009,626252
2010,13033934
2011,10942278
Australia,23888680
2009,405584
2010,8224828
2011,15258268
Italy,19342997
2009,300879
2010,9504353
2011,9537765
Sweden,18329138
2009,37461
2010,12006310
2011,6285367
Norway,17319394
2009,261303
2010,6285336
2011,10772755
Cyprus,14606935
2009,2436588
2010,5481177
2011,6689170
Finland,13150422
2009,50656
2010,4622733
2011,8477033
Austria,11638091
2009,471326
2010,6343994
2011,4822771
Denmark,10229868
2009,151455
2010,5586296
2011,4492117
Greece,9267245
2009,717828
2010,6990041
2011,1559376
Unspecified,7646144
2010,4298098
2011,3348046
Japan,7326386
2009,38265
2010,3651960
2011,3636161
Poland,6809324
2009,281138
2010,2288446
2011,4239740
USA,6359481
2009,12636
2010,3078463
2011,3268382
United Arab Emirates,5806618
2009,739803
2010,4047863
2011,1018952
Malta,4821056
2010,2662560
2011,2158496
Singapore,4409424
2010,1491048
2011,2918376
Israel,4101192
2010,962057
2011,3139135
Canada,3800513
2010,1185030
2011,2615483
Iceland,2987974
2010,1259394
2011,1728580
Lithuania,2897748
2010,2897748
RSA,1527608
2010,805740
2011,721868
Brazil,1199170
2010,790562
2011,408608
West Indies,979560
2010,979560
Thailand,947644
2010,947644
European Community,921588
2011,921588
Korea,804341
2010,804341
Bahrain,728897
2010,518870
2011,210027
Lebanon,574380
2010,
2011,574380
Nigeria,471060
2009,
2010,471060
Czech Republic,383430
2011,383430
Saudi Arabia,125650
2011,125650
Hong Kong,
2010,
2011,
Bermuda,
2010,
Grand Total,12442026615
